Gene ID,Locus ID
SolycPME1,Solyc00g023470.1
SolycPME2,Solyc00g027770.2
SolycPME3,Solyc00g170510.1
SolycPME4,Solyc01g057220.2
SolycPME5,Solyc01g066360.2
SolycPME6,Solyc01g066370.2
SolycPME7,Solyc01g066400.1
SolycPME8,Solyc01g066410.1
SolycPME9,Solyc01g066420.2
SolycPME10,Solyc01g067410.1
SolycPME11,Solyc01g067420.2
SolycPME12,Solyc01g068120.2
SolycPME13,Solyc01g079180.2
SolycPME14,Solyc01g090130.1
SolycPME15,Solyc01g091050.2
SolycPME16,Solyc01g091060.1
SolycPME17,Solyc01g098940.2
SolycPME18,Solyc01g099940.2
SolycPME19,Solyc01g099950.1
SolycPME20,Solyc01g099960.2
SolycPME21,Solyc01g109740.2
SolycPME22,Solyc02g014300.1
SolycPME23,Solyc02g062150.1
SolycPME24,Solyc02g075620.2
SolycPME25,Solyc02g080200.2
SolycPME26,Solyc02g080210.2
SolycPME27,Solyc02g080220.2
SolycPME28,Solyc02g081990.2
SolycPME29,Solyc02g083830.1
SolycPME30,Solyc03g078090.2
SolycPME31,Solyc03g078100.2
SolycPME32,Solyc03g083360.2
SolycPME33,Solyc03g083840.2
SolycPME34,Solyc03g083870.2
SolycPME35,Solyc03g123620.2
SolycPME36,Solyc03g123630.2
SolycPME37,Solyc04g080530.2
SolycPME38,Solyc05g047590.2
SolycPME39,Solyc05g052110.2
SolycPME40,Solyc05g052120.2
SolycPME41,Solyc05g053680.1
SolycPME42,Solyc05g054360.2
SolycPME43,Solyc06g009180.1
SolycPME44,Solyc06g009190.2
SolycPME45,Solyc06g034360.1
SolycPME46,Solyc06g051960.2
SolycPME47,Solyc06g084620.1
SolycPME48,Solyc07g017560.2
SolycPME49,Solyc07g017600.2
SolycPME50,Solyc07g043240.2
SolycPME51,Solyc07g064170.2
SolycPME52,Solyc07g064180.2
SolycPME53,Solyc07g064190.1
SolycPME54,Solyc07g065350.1
SolycPME55,Solyc07g065360.1
SolycPME56,Solyc08g078640.1
SolycPME57,Solyc09g059980.1
SolycPME58,Solyc09g075330.2
SolycPME59,Solyc09g075350.2
SolycPME60,Solyc09g091730.2
SolycPME61,Solyc10g049370.1
SolycPME62,Solyc10g049380.1
SolycPME63,Solyc10g049430.1
SolycPME64,Solyc10g049440.1
SolycPME65,Solyc10g049450.1
SolycPME66,Solyc10g052730.1
SolycPME67,Solyc10g076430.1
SolycPME68,Solyc10g083810.1
SolycPME69,Solyc10g083820.1
SolycPME70,Solyc11g005750.1
SolycPME71,Solyc11g005770.1
SolycPME72,Solyc11g050990.1
SolycPME73,Solyc11g051010.1
SolycPME74,Solyc11g051020.1
SolycPME75,Solyc11g051030.1
SolycPME76,Solyc12g008530.1
SolycPME77,Solyc12g098340.1
SolycPME78,Solyc12g099230.1
SolycPME79,Solyc12g099410.1
SolycPMEI1,Solyc01g059940.2
SolycPMEI2,Solyc01g088580.1
SolycPMEI3,Solyc01g088590.2
SolycPMEI4,Solyc01g091100.2
SolycPMEI5,Solyc01g091110.2
SolycPMEI6,Solyc01g097660.2
SolycPMEI7,Solyc02g069300.1
SolycPMEI8,Solyc02g069330.1
SolycPMEI9,Solyc03g083660.1
SolycPMEI10,Solyc03g083700.1
SolycPMEI11,Solyc03g083710.1
SolycPMEI12,Solyc03g083720.1
SolycPMEI13,Solyc03g083730.1
SolycPMEI14,Solyc03g083770.1
SolycPMEI15,Solyc03g112170.1
SolycPMEI16,Solyc03g112180.1
SolycPMEI17,Solyc03g112960.1
SolycPMEI18,Solyc03g112970.1
SolycPMEI19,Solyc03g112990.1
SolycPMEI20,Solyc04g015510.1
SolycPMEI21,Solyc04g071850.1
SolycPMEI22,Solyc05g005030.2
SolycPMEI23,Solyc06g005460.1
SolycPMEI24,Solyc06g034370.1
SolycPMEI25,Solyc07g042390.1
SolycPMEI26,Solyc08g006690.1
SolycPMEI27,Solyc08g007450.1
SolycPMEI28,Solyc08g016100.1
SolycPMEI29,Solyc08g016110.1
SolycPMEI30,Solyc08g016120.1
SolycPMEI31,Solyc08g077400.1
SolycPMEI32,Solyc09g011280.1
SolycPMEI33,Solyc09g011290.1
SolycPMEI34,Solyc09g072950.1
SolycPMEI35,Solyc09g082610.1
SolycPMEI36,Solyc09g092170.1
SolycPMEI37,Solyc09g092350.1
SolycPMEI38,Solyc10g018320.1
SolycPMEI39,Solyc10g018330.1
SolycPMEI40,Solyc10g076730.1
SolycPMEI41,Solyc10g081670.1
SolycPMEI42,Solyc11g005470.1
SolycPMEI43,Solyc11g005820.1
SolycPMEI44,Solyc11g019910.1
SolycPMEI45,Solyc12g009270.1
SolycPMEI46,Solyc12g099190.1
SolycPMEI47,Solyc12g099200.1
SolycPMEI48,Solyc12g099210.1