Test,AccessionNum,IndividualNum,Plate Location,ImageUsed,NumHealthyPollen,NumGerminated,NumBurstPollenTubes,UnhealthyPollenScore,PollenSampleGridNumber,umPollenDiameter,umPollenTubeLength
Unfrozen8_17,716,2,C2,4,98,92,8,3,12,30.418,10.754
Unfrozen8_17,716,2,C2,4,98,92,8,3,16,31.29,245.201
Unfrozen8_17,716,2,C2,4,98,92,8,3,24,27.982,228.046
Unfrozen8_17,716,2,C2,4,98,92,8,3,29,27.143,211.724
Unfrozen8_17,716,2,C2,4,98,92,8,3,33,27.26,163.662
Unfrozen8_17,716,2,C2,4,98,92,8,3,43,27.754,90.38
Unfrozen8_17,716,2,C2,4,98,92,8,3,45,30.456,6.271
Unfrozen8_17,716,2,C2,4,98,92,8,3,76,25.279,170.783
Unfrozen8_17,716,2,C2,4,98,92,8,3,81,29.697,194.546
Unfrozen8_17,716,2,C2,4,98,92,8,3,87,24.346,86.971
Unfrozen8_17,716,17,C3,3,62,61,8,1,12,26.789,214.259
Unfrozen8_17,716,17,C3,3,62,61,8,1,16,28.504,195.412
Unfrozen8_17,716,17,C3,3,62,61,8,1,24,29.697,181.624
Unfrozen8_17,716,17,C3,3,62,61,8,1,29,30.815,201.54
Unfrozen8_17,716,17,C3,3,62,61,8,1,33,24.346,227.473
Unfrozen8_17,716,17,C3,3,62,61,8,1,43,27.004,252.906
Unfrozen8_17,716,17,C3,3,62,61,8,1,45,31.657,215.416
Unfrozen8_17,716,17,C3,3,62,61,8,1,76,30.826,213.518
Unfrozen8_17,716,17,C3,3,62,61,8,1,81,28.545,201.708
Unfrozen8_17,716,17,C3,3,62,61,8,1,87,29.344,292.086
Unfrozen8_17,M82,10,B2,2,67,65,14,2,12,20.532,323.019
Unfrozen8_17,M82,10,B2,2,67,65,14,2,16,21.616,504.043
Unfrozen8_17,M82,10,B2,2,67,65,14,2,24,22.927,503.018
Unfrozen8_17,M82,10,B2,2,67,65,14,2,29,23.016,439.722
Unfrozen8_17,M82,10,B2,2,67,65,14,2,33,21.895,250.28
Unfrozen8_17,M82,10,B2,2,67,65,14,2,43,21.347,444.215
Unfrozen8_17,M82,10,B2,2,67,65,14,2,45,23.091,332.89
Unfrozen8_17,M82,10,B2,2,67,65,14,2,76,19.83,426.602
Unfrozen8_17,M82,10,B2,2,67,65,14,2,81,23.178,231.129
Unfrozen8_17,M82,10,B2,2,67,65,14,2,87,23.757,370.445
Unfrozen8_17,M82,17,B3,4,68,68,25,2,12,22.066,341.934
Unfrozen8_17,M82,17,B3,4,68,68,25,2,16,23.166,460.041
Unfrozen8_17,M82,17,B3,4,68,68,25,2,24,21.935,450.368
Unfrozen8_17,M82,17,B3,4,68,68,25,2,29,17.639,317.836
Unfrozen8_17,M82,17,B3,4,68,68,25,2,33,18.076,335.124
Unfrozen8_17,M82,17,B3,4,68,68,25,2,43,19.772,225.919
Unfrozen8_17,M82,17,B3,4,68,68,25,2,45,18.251,373.73
Unfrozen8_17,M82,17,B3,4,68,68,25,2,76,18.393,259.418
Unfrozen8_17,M82,17,B3,4,68,68,25,2,81,21.293,471.586
Unfrozen8_17,M82,17,B3,4,68,68,25,2,87,21.789,284.988
Unfrozen8_18,716,2,C2,2,58,52,4,3,12,31.179,3.802
Unfrozen8_18,716,2,C2,2,58,52,4,3,16,32.655,180.361
Unfrozen8_18,716,2,C2,2,58,52,4,3,24,32.424,173.759
Unfrozen8_18,716,2,C2,2,58,52,4,3,29,33.46,121.514
Unfrozen8_18,716,2,C2,2,58,52,4,3,33,30.693,180.497
Unfrozen8_18,716,2,C2,2,58,52,4,3,43,27.65,208.097
Unfrozen8_18,716,2,C2,2,58,52,4,3,45,19.477,12.657
Unfrozen8_18,716,2,C2,2,58,52,4,3,76,28.787,165.867
Unfrozen8_18,716,2,C2,2,58,52,4,3,81,31.318,200.93
Unfrozen8_18,716,2,C2,2,58,52,4,3,87,26.034,124.333
Unfrozen8_18,716,17,C3,3,91,88,11,2,12,30.655,101.704
Unfrozen8_18,716,17,C3,3,91,88,11,2,16,26.354,304.397
Unfrozen8_18,716,17,C3,3,91,88,11,2,24,28.137,196.808
Unfrozen8_18,716,17,C3,3,91,88,11,2,29,27.889,190.33
Unfrozen8_18,716,17,C3,3,91,88,11,2,33,28.897,187.724
Unfrozen8_18,716,17,C3,3,91,88,11,2,43,27.429,146.44
Unfrozen8_18,716,17,C3,3,91,88,11,2,45,28.178,220.459
Unfrozen8_18,716,17,C3,3,91,88,11,2,76,29.255,238.892
Unfrozen8_18,716,17,C3,3,91,88,11,2,81,21.509,164.89
Unfrozen8_18,716,17,C3,3,91,88,11,2,87,23.476,223.619
Unfrozen8_18,M82,10,B2,4,56,55,5,1,12,22.61,506.251
Unfrozen8_18,M82,10,B2,4,56,55,5,1,16,19.011,229.61
Unfrozen8_18,M82,10,B2,4,56,55,5,1,24,19.772,554.975
Unfrozen8_18,M82,10,B2,4,56,55,5,1,29,19.238,485.778
Unfrozen8_18,M82,10,B2,4,56,55,5,1,33,22.366,405.727
Unfrozen8_18,M82,10,B2,4,56,55,5,1,43,16.678,446.114
Unfrozen8_18,M82,10,B2,4,56,55,5,1,45,20.687,473.569
Unfrozen8_18,M82,10,B2,4,56,55,5,1,76,22.145,380.565
Unfrozen8_18,M82,10,B2,4,56,55,5,1,81,18.251,550.153
Unfrozen8_18,M82,10,B2,4,56,55,5,1,87,24.91,397.603
Unfrozen8_18,M82,17,B3,3,72,71,20,2,12,21.935,565.213
Unfrozen8_18,M82,17,B3,3,72,71,20,2,16,24.759,514.5
Unfrozen8_18,M82,17,B3,3,72,71,20,2,24,25.956,233.659
Unfrozen8_18,M82,17,B3,3,72,71,20,2,29,21.776,374.276
Unfrozen8_18,M82,17,B3,3,72,71,20,2,33,19.961,154.157
Unfrozen8_18,M82,17,B3,3,72,71,20,2,43,18.314,277.585
Unfrozen8_18,M82,17,B3,3,72,71,20,2,45,23.278,230.72
Unfrozen8_18,M82,17,B3,3,72,71,20,2,76,18.393,439.205
Unfrozen8_18,M82,17,B3,3,72,71,20,2,81,20.476,434.009
Unfrozen8_18,M82,17,B3,3,72,71,20,2,87,21.75,281.233