 ,Area,Mean,Min,Max,Length
1,20.118,100.048,93.333,106.965,25.858
2,310.651,254.025,0.333,255.000,403.077
3,71.598,121.448,87.701,132.562,92.443
4,22.485,93.833,73.818,106.241,28.833
5,101.775,120.114,90.333,131.620,132.257
6,23.077,97.913,87.559,107.544,29.483
7,105.917,126.330,7.495,254.449,137.061
8,22.485,106.600,89.780,130.749,28.915
9,115.976,126.359,118.947,141.257,150.364
10,21.893,91.207,80.646,106.149,27.873
11,48.521,117.824,90.333,124.640,62.839
12,23.077,100.731,82.006,115.380,29.241
13,68.047,124.359,81.667,134.101,87.986
14,21.893,99.398,77.969,120.280,28.000
15,97.633,124.306,73.000,134.090,126.502
16,22.485,86.254,69.009,110.667,28.472
17,122.485,123.214,97.006,130.935,158.995
18,24.260,107.033,86.333,114.647,30.856
19,46.154,126.140,111.763,136.470,59.515
20,22.485,99.042,75.667,111.141,28.997
21,85.207,116.772,74.667,129.432,110.476
22,19.527,86.648,58.333,109.528,25.115
23,106.509,128.950,58.835,142.787,137.841
24,20.710,112.350,96.668,128.031,26.835
25,150.296,116.230,54.490,137.598,194.794
26,25.444,77.264,50.413,132.000,32.889
27,23.669,77.885,49.058,132.000,30.431
28,26.036,140.696,72.599,255.000,33.805
29,21.302,115.300,107.999,123.231,27.456
30,38.462,129.249,97.531,142.667,49.992
31,18.935,118.462,93.667,129.484,24.325
32,7.101,113.588,80.847,124.604,8.600
33,21.302,115.419,100.592,123.669,27.575
34,31.361,101.201,39.333,141.000,40.769
35,21.302,113.058,75.667,125.817,26.967
36,21.302,128.012,104.867,147.187,27.397
37,23.669,105.507,84.545,120.558,30.314
38,27.219,126.517,87.000,135.331,35.103
39,23.077,112.149,90.333,119.403,29.392
40,17.160,134.192,130.000,140.681,21.990
41,21.893,87.545,65.614,102.471,27.799
42,124.852,109.426,92.453,122.333,162.340
43,20.710,91.297,77.581,100.489,26.569
44,123.077,105.087,60.000,115.720,159.836
45,25.444,77.218,60.812,90.140,32.862
46,27.811,97.493,62.947,124.332,35.884
47,24.260,79.990,61.587,101.003,31.009
48,20.118,93.943,77.592,108.670,25.605
49,119.527,110.243,97.228,120.775,155.084
50,23.077,75.649,60.203,100.333,29.443
51,68.639,96.846,84.575,114.333,88.517
52,24.260,85.142,66.000,96.671,31.009
53,31.953,97.418,74.392,115.559,41.414
54,24.852,98.126,89.985,108.126,31.679
55,43.195,116.685,90.453,132.577,56.038
56,18.343,85.585,69.333,106.407,23.433
57,29.586,108.005,96.432,113.787,38.290
58,23.669,95.025,71.223,106.907,30.010
59,45.562,110.353,70.667,118.724,59.055
60,23.669,81.491,58.230,100.656,30.246
61,86.982,105.170,50.288,129.910,113.019
62,309.467,212.084,2.128,255.000,401.545
63,25.444,99.440,74.333,129.134,32.889
64,25.444,98.654,74.333,126.823,32.753
65,78.698,123.467,75.659,133.745,102.324
66,23.077,108.091,90.920,124.749,29.483
67,56.213,124.454,110.161,145.443,72.774
68,21.893,111.080,105.299,119.102,27.863
69,23.077,126.184,110.614,139.333,29.391
70,22.485,102.833,86.889,119.272,28.503
71,130.178,125.435,111.040,136.959,168.652
72,22.485,106.067,83.110,126.848,28.956
73,55.030,125.338,83.667,137.246,71.406
74,22.485,99.026,67.746,124.063,28.956
75,103.550,119.146,86.729,134.667,134.776
76,21.302,104.884,90.000,122.842,27.617
77,48.521,120.804,90.982,132.008,62.503
78,20.118,110.495,91.333,118.285,25.570
79,86.982,129.819,39.599,254.667,112.883
80,24.852,99.913,90.698,124.946,31.716
81,61.538,123.552,97.562,130.484,79.623
82,21.893,122.183,97.192,145.405,28.305
83,149.112,131.724,95.295,145.138,193.290
84,26.627,93.078,77.287,114.667,34.272
85,26.036,93.375,75.103,117.409,33.184
86,62.130,122.396,94.536,145.000,80.101
87,21.302,109.321,87.742,133.426,27.098
88,105.325,114.028,74.165,132.215,137.204
89,21.893,91.764,75.918,112.168,28.221
90,56.805,122.801,96.087,131.766,73.465
91,25.444,114.705,94.826,137.401,32.681
92,108.284,127.257,113.185,145.117,140.227
93,24.852,100.943,77.182,122.022,31.679
94,69.231,126.719,88.667,145.679,89.660
95,21.302,99.228,79.428,118.935,27.521
96,71.006,125.861,118.600,133.009,92.218
97,22.485,92.272,74.667,125.333,28.462
98,65.089,123.295,75.471,144.250,84.916
99,21.893,100.834,85.271,122.568,28.378
100,84.024,129.005,108.201,139.440,108.931
101,21.893,111.985,90.270,122.053,28.368
102,114.793,132.887,108.135,143.807,148.657
103,20.118,96.023,73.233,103.195,25.396
104,104.142,129.140,103.249,141.433,135.540
105,19.527,82.566,59.667,103.667,24.615
106,310.651,254.341,0.333,255.000,403.077
107,196.450,86.893,68.367,106.510,255.074
108,19.527,101.485,72.823,131.846,24.627
109,209.467,98.281,72.440,105.160,272.134
110,19.527,79.319,71.870,88.845,25.197
111,45.562,86.020,69.462,97.667,58.710
112,18.935,87.448,69.490,117.124,24.543
113,105.325,97.086,82.165,106.695,136.404
114,16.568,95.837,69.280,117.652,21.220
115,203.550,102.521,72.706,114.141,264.133
116,19.527,97.455,74.000,131.000,24.615
117,157.988,100.883,86.755,110.821,205.275
118,17.751,84.493,69.295,91.244,22.321
119,156.805,92.817,63.767,99.431,203.877
120,17.160,92.405,66.176,116.850,22.041
121,149.704,92.049,72.991,104.064,194.165
122,20.118,77.310,67.584,89.045,25.847
123,42.012,87.563,74.000,98.625,54.491
124,15.385,80.018,56.000,89.316,19.292
125,6.509,77.061,57.000,101.667,7.692
126,18.935,80.033,63.593,96.175,23.896
127,63.314,99.450,83.519,118.360,81.711
128,18.343,90.661,65.178,101.803,23.395
129,127.811,99.794,81.231,113.018,166.026
130,16.568,97.441,65.333,114.394,21.387
131,185.207,104.129,58.616,122.124,240.232
132,20.118,85.598,74.000,100.923,25.478
133,33.136,92.392,66.893,102.889,43.146
134,17.160,90.825,68.816,102.867,21.771
135,166.272,105.130,84.667,111.133,215.617
136,19.527,98.727,88.667,108.000,24.615
137,20.118,105.345,87.887,118.044,25.617
138,17.751,96.068,87.608,103.495,22.637
139,175.148,109.519,89.000,123.351,227.331
140,15.976,100.020,82.252,116.879,20.641
141,202.367,110.097,78.122,121.011,262.510
142,19.527,101.545,75.333,118.333,24.615
143,154.438,103.702,48.017,114.562,200.628
144,17.751,98.934,67.745,115.660,22.871
145,160.355,118.892,6.344,255.000,208.206
146,12.426,80.677,58.355,112.333,15.480
147,255.621,128.966,87.427,142.626,332.312
148,13.018,113.674,84.667,133.766,16.570
149,354.438,119.347,93.278,129.960,460.749
150,13.018,111.044,103.040,120.063,16.227
151,59.172,117.172,98.430,132.333,76.443
152,17.751,95.010,79.046,104.191,22.321
153,162.130,122.472,97.357,133.130,210.197
154,18.935,111.755,80.039,137.186,23.896
155,162.130,115.227,90.917,129.988,210.283
156,15.976,100.271,84.594,125.667,20.000
157,71.598,108.709,97.448,120.333,93.104
158,20.118,96.474,84.974,109.233,25.801
159,31.361,110.504,91.306,117.483,40.695
160,15.976,117.341,87.333,133.933,20.000
161,314.201,117.070,61.081,135.511,408.323
162,17.751,107.530,86.000,126.384,22.519
163,228.994,115.262,84.412,129.667,297.396
164,15.976,119.994,70.667,142.767,20.059
165,297.041,115.848,54.575,133.813,385.634
166,19.527,79.953,59.394,106.982,25.044
167,77.515,98.683,71.242,114.448,100.540
168,19.527,100.672,66.000,112.574,25.233
169,9.467,108.648,102.206,117.000,11.742
170,15.385,64.985,56.583,78.879,19.581
171,72.781,99.748,66.443,118.260,95.236
172,20.710,93.718,63.880,109.782,26.199
173,96.450,102.982,69.288,115.393,124.828
174,17.160,96.872,77.415,113.391,22.148
175,78.698,111.905,63.999,123.487,102.180
176,20.118,94.649,59.365,118.884,25.617
177,97.041,102.975,63.436,114.490,126.074
178,18.935,69.085,48.975,85.206,24.434
179,131.361,113.836,89.256,121.000,170.440
180,18.935,84.267,66.774,100.342,23.859
181,80.473,114.106,92.095,124.590,104.248
182,17.160,93.032,79.418,108.284,21.784
183,97.041,111.017,77.952,124.761,125.637
184,17.751,95.411,70.365,113.770,22.519
185,120.710,118.021,100.841,127.451,156.716
186,17.751,106.283,85.333,130.685,22.728
187,153.846,111.835,97.889,123.759,199.580
188,19.527,91.244,77.650,102.244,24.831
189,104.734,106.862,98.000,114.517,135.893
190,18.343,99.022,76.667,111.100,23.395
191,137.278,104.130,62.797,117.830,178.262
192,20.710,96.558,85.748,118.333,26.435
193,55.621,108.213,98.357,123.607,71.912
194,19.527,97.108,90.617,106.541,25.044
195,14.793,104.806,91.333,109.719,18.494
196,19.527,97.520,88.117,112.701,24.807
197,29.586,102.755,85.039,109.664,38.191
198,18.343,90.363,63.901,102.857,23.192
199,52.071,101.971,88.667,107.214,67.123
200,20.710,98.418,86.962,105.600,26.199
201,140.828,114.377,3.982,254.960,183.033
202,19.527,89.933,81.827,104.123,24.663
203,36.686,104.035,96.534,109.667,47.405
204,23.077,91.139,79.040,104.307,29.241
205,86.982,115.034,26.560,255.000,112.793
206,21.302,98.969,59.865,113.295,27.098
207,82.840,114.239,92.737,130.000,107.171
208,310.059,211.648,0.667,255.000,402.314
209,21.893,113.380,82.086,143.732,27.735
210,148.521,118.556,93.640,127.091,192.956
211,20.710,87.498,78.681,98.333,26.558
212,103.550,105.200,69.869,127.000,134.649
213,23.077,104.389,84.000,128.197,29.872
214,159.172,116.623,79.521,127.618,206.524
215,18.343,46.566,35.071,73.000,23.128
216,24.260,93.815,73.609,127.333,31.295
217,20.118,104.354,91.355,118.837,25.949
218,110.059,117.651,30.905,126.983,142.529
219,20.118,94.396,77.167,107.095,25.478
220,95.858,114.237,66.743,120.239,123.883
221,21.893,89.937,77.000,126.333,27.692
222,75.740,117.595,99.000,126.689,98.698
223,23.077,86.030,73.870,98.667,29.443
224,105.325,113.162,94.333,127.009,136.845
225,21.302,99.603,87.118,107.617,27.575
226,44.970,113.698,93.902,139.667,58.630
227,23.077,85.499,67.935,100.391,29.392
228,5.325,88.953,73.667,99.552,6.202
229,20.710,95.645,69.333,104.108,26.312
230,19.527,93.112,65.730,125.277,25.122
231,20.710,98.189,87.684,112.405,26.702
232,18.343,106.677,89.888,132.236,23.897
233,12.426,85.156,57.944,100.055,15.689
234,19.527,66.893,45.667,107.383,24.844
235,23.077,100.692,80.333,112.333,29.231
236,6.509,104.121,94.667,108.000,7.692
237,22.485,98.928,93.120,104.000,28.741
238,6.509,97.992,85.000,104.231,8.321
239,20.710,94.790,72.697,111.667,26.165
240,5.325,102.496,96.616,111.667,6.572
241,20.710,98.634,87.098,105.050,26.702
242,9.467,99.661,90.077,106.727,12.004
243,17.160,77.097,60.000,85.062,21.757
244,7.692,89.229,66.708,108.311,9.730
245,20.710,102.686,95.241,109.279,26.289
246,7.692,102.676,89.307,112.192,9.263
247,23.077,98.691,77.392,126.958,29.872
248,123.077,119.513,95.576,127.323,159.794
249,25.444,92.687,66.113,122.645,32.645
250,310.059,253.964,0.001,255.000,402.311
251,73.964,118.310,73.333,139.127,95.723
252,23.077,106.060,95.775,128.172,29.392
253,40.237,119.507,98.609,128.076,51.758
254,25.444,97.579,83.864,123.904,32.353
255,88.757,118.414,103.550,129.694,115.255
256,21.302,94.808,79.413,119.488,27.196
257,79.882,115.607,82.108,128.579,103.803
258,20.118,95.116,74.288,109.163,25.570
259,67.456,101.011,62.302,125.008,87.117
260,24.852,85.098,66.030,124.333,32.133
261,52.071,124.873,102.667,135.107,67.242
262,21.302,82.087,54.895,97.897,27.575
263,111.243,119.731,68.395,132.642,144.286
264,21.302,102.694,87.667,118.333,26.923
265,125.444,118.748,63.880,132.590,162.538
266,20.118,71.526,50.828,94.097,26.120
267,43.195,104.906,78.667,127.532,56.001
268,20.118,97.181,73.667,109.952,26.131
269,83.432,127.117,75.129,139.821,107.974
270,20.118,102.961,85.932,119.029,25.396
271,125.444,125.193,105.465,134.079,163.087
272,21.893,91.471,73.537,111.227,28.368
273,51.479,127.858,72.127,150.333,66.501
274,26.036,91.918,75.501,116.741,33.397
275,86.391,124.025,84.697,133.589,112.422
276,22.485,98.372,84.667,115.477,28.833
277,88.757,132.413,62.667,157.451,114.669
278,21.893,89.503,60.197,109.818,28.242
279,62.722,92.837,60.915,133.011,81.634
280,24.260,100.907,86.886,113.887,31.113
281,24.260,120.370,104.693,128.933,31.393
282,20.710,105.958,97.998,114.521,26.199
283,55.030,129.621,89.210,139.566,71.228
284,23.077,93.683,75.333,108.974,29.443
285,86.982,122.074,91.789,132.089,113.144
286,20.710,113.511,93.667,127.679,26.868
287,97.633,123.956,79.774,154.793,126.256
288,20.710,101.890,88.196,109.920,26.758
289,89.941,120.638,96.667,129.643,116.638
290,24.260,92.947,75.031,113.667,30.961
291,142.012,116.923,65.891,139.008,184.468
292,20.710,92.126,78.053,108.227,26.199
293,111.834,119.335,99.547,133.155,144.714
294,27.219,78.418,61.837,110.483,34.811
295,84.615,115.171,66.301,125.450,109.346
296,24.260,98.486,74.000,113.373,30.769
297,103.550,123.902,111.333,141.577,134.235
298,23.077,104.174,90.167,121.528,29.322
299,110.059,123.858,116.000,131.285,142.486
300,22.485,92.604,78.456,107.006,28.627
301,117.751,115.418,65.361,135.797,153.069
302,21.302,121.965,15.713,254.731,27.617
303,98.817,134.606,3.569,255.000,129.554
304,22.485,93.371,74.131,105.453,28.720
305,95.858,124.927,99.333,131.602,124.182
306,20.118,104.230,79.966,115.550,26.029
307,126.036,123.396,90.099,131.067,163.393
308,19.527,116.270,89.968,135.810,24.855
309,172.781,132.847,103.452,149.690,224.288
310,18.343,107.810,88.886,137.691,23.597
311,463.905,133.050,65.469,149.596,602.540
312,13.018,77.283,59.870,102.000,16.354
313,5.917,108.399,87.000,122.717,7.092
314,17.160,121.817,80.259,151.813,21.771
315,320.710,140.104,115.333,149.663,416.407
316,19.527,122.238,71.165,150.665,25.197
317,271.006,127.369,73.479,150.485,351.747
318,17.751,97.352,80.171,120.211,22.871
319,266.272,129.474,95.000,140.516,345.772
320,18.343,123.353,102.093,134.873,23.446
321,221.302,133.219,102.037,146.573,287.237
322,18.935,105.371,90.000,128.693,23.958
323,228.402,129.620,94.073,141.207,296.362
324,20.118,115.498,104.287,123.369,25.489
325,40.237,130.880,102.581,145.210,51.725
326,15.976,116.812,79.619,134.127,20.308
327,332.544,136.435,2.821,255.000,432.400
328,19.527,96.939,72.667,124.667,24.615
329,194.675,99.049,72.262,112.927,252.932
330,21.302,81.835,70.916,100.066,27.098
331,26.627,94.192,71.667,103.333,34.253
332,18.935,102.765,81.307,117.199,24.531
333,232.544,107.829,83.417,120.406,301.607
334,18.343,96.931,67.000,119.691,23.433
335,233.136,98.163,64.167,116.724,302.835
336,21.302,77.678,66.794,88.678,27.316
337,21.893,90.270,81.910,100.170,28.359
338,19.527,80.794,71.375,95.942,25.115
339,46.746,90.302,69.965,101.399,60.102
340,20.118,97.160,86.242,105.433,25.570
341,173.373,103.008,66.387,113.794,226.819
342,20.710,85.195,67.114,98.398,26.154
343,92.899,100.783,66.786,118.476,120.653
344,17.751,96.622,84.543,105.684,22.624
345,171.598,103.341,68.030,113.994,222.394
346,17.160,129.888,4.266,255.000,21.593
347,300.000,104.318,28.175,254.999,389.435
348,16.568,116.134,99.950,132.071,20.783
349,242.012,115.958,84.322,126.326,314.691
350,15.385,79.993,63.300,91.954,19.702
351,62.722,98.147,62.667,118.381,81.951
352,15.385,130.613,97.667,153.426,19.415
353,300.592,118.128,70.242,133.336,390.435
354,15.385,103.763,81.249,120.540,19.460
355,420.118,119.369,73.613,140.698,545.837
356,14.793,114.172,89.333,134.059,18.605
357,32.544,100.386,65.777,138.951,42.553
358,14.793,77.631,60.119,92.618,19.045
359,129.586,106.601,59.854,129.138,167.979
360,14.201,123.311,92.000,141.870,18.024
361,286.391,117.439,64.709,135.640,371.696
362,14.793,127.270,86.333,141.342,18.621
363,628.994,120.349,75.094,135.808,817.091
364,15.385,103.059,85.852,116.144,19.292
365,316.568,119.566,76.961,135.155,411.075
366,18.935,80.612,63.912,96.304,24.081
367,104.142,108.808,72.241,123.508,135.086
368,17.751,67.702,50.411,106.096,22.871
369,188.166,118.213,62.242,131.773,244.311
370,19.527,101.843,88.333,115.682,24.663
371,52.663,118.259,84.280,126.667,67.858
372,19.527,102.366,89.978,113.675,24.771
373,13.018,112.361,108.000,123.861,16.800
374,18.935,103.594,70.976,133.998,23.883
375,268.047,120.193,57.874,141.373,348.187
376,20.118,99.153,84.801,116.132,25.466
377,78.107,120.872,108.840,131.581,101.548
378,17.751,75.596,51.203,102.321,22.728
379,98.817,125.198,83.333,135.570,128.427
380,17.160,113.971,97.271,129.505,22.188
381,144.970,115.962,65.395,133.299,188.469
382,16.568,109.318,96.786,119.723,21.220
383,69.231,120.842,90.368,131.730,89.813
384,18.935,103.813,97.113,118.187,24.447
385,27.811,116.673,108.667,141.525,35.767
386,15.976,118.979,96.333,133.118,20.235
387,143.195,118.676,69.050,136.926,186.061
388,18.935,106.069,83.314,122.667,24.325
389,349.704,122.720,80.443,138.015,454.488
390,17.751,105.247,91.203,118.400,22.948
391,30.178,118.364,99.667,129.063,38.782
392,17.751,103.161,88.680,121.542,22.871
393,184.615,124.394,97.555,135.878,239.605
394,17.160,104.574,77.000,125.267,21.893
395,111.834,113.196,77.700,136.222,145.390
396,19.527,111.242,99.333,121.631,24.807
397,36.686,123.094,100.224,128.607,47.316
398,17.751,113.318,102.491,126.043,22.400
399,41.420,113.906,94.896,128.973,53.845
400,17.751,101.669,83.000,112.979,22.948
401,23.077,123.684,115.667,136.458,29.253
402,19.527,105.550,95.383,116.020,24.771
403,81.657,116.533,66.980,136.240,105.762
404,20.710,111.070,98.152,123.000,26.469
405,20.710,120.920,85.123,133.687,26.491
406,14.793,120.240,94.822,132.274,18.999
407,413.609,118.446,14.584,255.000,537.122
408,289.349,120.333,17.186,255.000,375.902
