id,species,tissue1,status,status_nested
Slyc_polgerm1,lyc,pollen,germ,1
Slyc_polgerm2,lyc,pollen,germ,1
Slyc_polgerm3,lyc,pollen,germ,1
Slyc_polungerm1,lyc,pollen,ungerm,2
Slyc_polungerm2,lyc,pollen,ungerm,2
Slyc_polungerm3,lyc,pollen,ungerm,2
Slyc_styungerm1,lyc,style,ungerm,2
Slyc_styungerm2,lyc,style,ungerm,2
Slyc_styungerm3,lyc,style,ungerm,2
Spen_polgerm1,pen,pollen,germ,1
Spen_polgerm2,pen,pollen,germ,1
Spen_polgerm3,pen,pollen,germ,1
Spen_polungerm2,pen,pollen,ungerm,2
Spen_polungerm3,pen,pollen,ungerm,2
Spen_styungerm1,pen,style,ungerm,2
Spen_styungerm2,pen,style,ungerm,2
Spen_styungerm3,pen,style,ungerm,2
Spen_polungerm1,pen,pollen,ungerm,2
Slyc_leafP3r1,lyc,leaf,P3,1
Slyc_leafP3r2,lyc,leaf,P3,1
Slyc_leafP3r3,lyc,leaf,P3,1
Slyc_leafP4d1,lyc,leaf,P4,2
Slyc_leafP4d2,lyc,leaf,P4,2
Slyc_leafP4d3,lyc,leaf,P4,2
Slyc_leafP4p1,lyc,leaf,P4,2
Slyc_leafP4p2,lyc,leaf,P4,2
Slyc_leafP4p3,lyc,leaf,P4,2
Slyc_leafP5d1,lyc,leaf,P5,3
Slyc_leafP5d2,lyc,leaf,P5,3
Slyc_leafP5d3,lyc,leaf,P5,3
Slyc_leafP5p1,lyc,leaf,P5,3
Slyc_leafP5p2,lyc,leaf,P5,3
Slyc_leafP5p3,lyc,leaf,P5,3
Slyc_leafP6d1,lyc,leaf,P6,4
Slyc_leafP6d2,lyc,leaf,P6,4
Slyc_leafP6d3,lyc,leaf,P6,4
Slyc_leafP6p1,lyc,leaf,P6,4
Slyc_leafP6p2,lyc,leaf,P6,4
Slyc_leafP6p3,lyc,leaf,P6,4
Spen_leafP3r1,pen,leaf,P3,1
Spen_leafP3r2,pen,leaf,P3,1
Spen_leafP3r3,pen,leaf,P3,1
Spen_leafP4d1,pen,leaf,P4,2
Spen_leafP4d2,pen,leaf,P4,2
Spen_leafP4d3,pen,leaf,P4,2
Spen_leafP4p1,pen,leaf,P4,2
Spen_leafP4p2,pen,leaf,P4,2
Spen_leafP4p3,pen,leaf,P4,2
Spen_leafP5d1,pen,leaf,P5,3
Spen_leafP5d2,pen,leaf,P5,3
Spen_leafP5d3,pen,leaf,P5,3
Spen_leafP5p1,pen,leaf,P5,3
Spen_leafP5p2,pen,leaf,P5,3
Spen_leafP5p3,pen,leaf,P5,3
Spen_leafP6d1,pen,leaf,P6,4
Spen_leafP6d2,pen,leaf,P6,4
Spen_leafP6d3,pen,leaf,P6,4
Spen_leafP6p1,pen,leaf,P6,4
Spen_leafP6p2,pen,leaf,P6,4
Spen_leafP6p3,pen,leaf,P6,4